"","X","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Species","HierarchicalSubject","DateTime2","Date2"
"1",26,"C1T2P1","Conepatus leuconotus","28/03/2018 2:34:00","28/03/2018","2:34:50",0,0,0,0,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-28__02-34-50(1).JPG","Conepatus leuconotus","Species|Conepatus leuconotus","2018-03-28 02:34:00","2018-03-28"
"2",27,"C1T2P1","Lynx rufus","10/03/2018 1:38:00","10/03/2018","1:38:16",0,0,0,0,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-10__01-38-16(1).JPG","Lynx rufus","Species|Lynx rufus","2018-03-10 01:38:00","2018-03-10"
"3",28,"C1T2P1","Lynx rufus","19/03/2018 23:28:00","19/03/2018","23:28:33",856215,14270,237.8,9.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-19__23-28-33(1).JPG","Lynx rufus","Species|Lynx rufus","2018-03-19 23:28:00","2018-03-19"
"4",29,"C1T2P1","Lynx rufus","25/03/2018 21:08:00","25/03/2018","21:08:43",509991,8500,141.7,5.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-25__21-08-43(1).JPG","Lynx rufus","Species|Lynx rufus","2018-03-25 21:08:00","2018-03-25"
"5",30,"C1T2P1","Sylvilagus floridanus","29/01/2018 21:42:00","29/01/2018","21:42:07",0,0,0,0,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-01-29__21-42-07(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-01-29 21:42:00","2018-01-29"
"6",31,"C1T2P1","Sylvilagus floridanus","01/02/2018 2:36:00","1/02/2018","2:36:22",190451,3174,52.9,2.2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-01__02-36-22(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-01 02:36:00","2018-02-01"
"7",32,"C1T2P1","Sylvilagus floridanus","01/02/2018 23:46:00","1/02/2018","23:46:22",75756,1263,21.1,0.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-01__23-46-22(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-01 23:46:00","2018-02-01"
"8",33,"C1T2P1","Sylvilagus floridanus","03/02/2018 3:30:00","3/02/2018","3:30:05",99818,1664,27.7,1.2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-03__03-30-05(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-03 03:30:00","2018-02-03"
"9",34,"C1T2P1","Sylvilagus floridanus","04/02/2018 2:30:00","4/02/2018","2:30:45",82837,1381,23,1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-04__02-30-45(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-04 02:30:00","2018-02-04"
"10",35,"C1T2P1","Sylvilagus floridanus","05/02/2018 4:27:00","5/02/2018","4:27:31",93403,1557,25.9,1.1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-05__04-27-31(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-05 04:27:00","2018-02-05"
"11",36,"C1T2P1","Sylvilagus floridanus","07/02/2018 21:02:00","7/02/2018","21:02:31",232497,3875,64.6,2.7,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-07__21-02-31(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-07 21:02:00","2018-02-07"
"12",37,"C1T2P1","Sylvilagus floridanus","11/02/2018 1:15:00","11/02/2018","1:15:20",274366,4573,76.2,3.2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-11__01-15-20(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-11 01:15:00","2018-02-11"
"13",38,"C1T2P1","Sylvilagus floridanus","13/02/2018 2:39:00","13/02/2018","2:39:25",177842,2964,49.4,2.1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-13__02-39-25(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-13 02:39:00","2018-02-13"
"14",39,"C1T2P1","Sylvilagus floridanus","13/02/2018 22:19:00","13/02/2018","22:19:56",70735,1179,19.6,0.8,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-13__22-19-56(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-13 22:19:00","2018-02-13"
"15",40,"C1T2P1","Sylvilagus floridanus","14/02/2018 2:07:00","14/02/2018","2:07:33",13654,228,3.8,0.2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-14__02-07-33(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-14 02:07:00","2018-02-14"
"16",41,"C1T2P1","Sylvilagus floridanus","22/02/2018 22:21:00","22/02/2018","22:21:49",764051,12734,212.2,8.8,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-02-22__22-21-49(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-02-22 22:21:00","2018-02-22"
"17",42,"C1T2P1","Sylvilagus floridanus","09/03/2018 3:42:00","9/03/2018","3:42:45",1228853,20481,341.4,14.2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-09__03-42-45(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-09 03:42:00","2018-03-09"
"18",43,"C1T2P1","Sylvilagus floridanus","12/03/2018 2:34:00","12/03/2018","2:34:10",255083,4251,70.8,2.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-12__02-34-10(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-12 02:34:00","2018-03-12"
"19",44,"C1T2P1","Sylvilagus floridanus","23/03/2018 0:35:00","23/03/2018","0:35:51",943301,15722,262,10.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-23__00-35-51(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-23 00:35:00","2018-03-23"
"20",45,"C1T2P1","Sylvilagus floridanus","25/03/2018 21:47:00","25/03/2018","21:47:33",249099,4152,69.2,2.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-25__21-47-33(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-25 21:47:00","2018-03-25"
"21",46,"C1T2P1","Sylvilagus floridanus","26/03/2018 4:51:00","26/03/2018","4:51:01",25406,423,7,0.3,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-26__04-51-01(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-26 04:51:00","2018-03-26"
"22",47,"C1T2P1","Sylvilagus floridanus","27/03/2018 23:13:00","27/03/2018","23:13:35",152551,2543,42.4,1.8,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-27__23-13-35(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-27 23:13:00","2018-03-27"
"23",48,"C1T2P1","Sylvilagus floridanus","28/03/2018 23:29:00","28/03/2018","23:29:14",87339,1456,24.3,1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-28__23-29-14(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-28 23:29:00","2018-03-28"
"24",49,"C1T2P1","Sylvilagus floridanus","30/03/2018 1:10:00","30/03/2018","1:10:55",92160,1536,25.6,1.1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-03-30__01-10-55(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-03-30 01:10:00","2018-03-30"
"25",50,"C1T2P1","Sylvilagus floridanus","01/04/2018 23:29:00","1/04/2018","23:29:09",253090,4218,70.3,2.9,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-01__23-29-09(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-01 23:29:00","2018-04-01"
"26",51,"C1T2P1","Sylvilagus floridanus","03/04/2018 3:15:00","3/04/2018","3:15:59",98979,1650,27.5,1.1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-03__03-15-59(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-03 03:15:00","2018-04-03"
"27",52,"C1T2P1","Sylvilagus floridanus","04/04/2018 4:30:00","4/04/2018","4:30:39",90877,1515,25.2,1.1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-04__04-30-39(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-04 04:30:00","2018-04-04"
"28",53,"C1T2P1","Sylvilagus floridanus","05/04/2018 21:14:00","5/04/2018","21:14:32",146253,2438,40.6,1.7,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-05__21-14-32(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-05 21:14:00","2018-04-05"
"29",54,"C1T2P1","Sylvilagus floridanus","07/04/2018 21:21:00","7/04/2018","21:21:34",173218,2887,48.1,2,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-07__21-21-34(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-07 21:21:00","2018-04-07"
"30",55,"C1T2P1","Sylvilagus floridanus","08/04/2018 22:27:00","8/04/2018","22:27:13",86998,1450,24.2,1,"Imagenes_renombradas/C1T2P1","C1T2P1__2018-04-08__22-27-13(1).JPG","Sylvilagus floridanus","Species|Sylvilagus floridanus","2018-04-08 22:27:00","2018-04-08"
